year,上海,北京,吉林,四川,天津,宁夏,安徽,山东,山西,新疆,江苏,江西,河北,河南,浙江,湖北,湖南,甘肃,福建,西藏,辽宁,重庆,陕西,青海,黑龙江,全国
2014,107.60754191245773,114.66902794829106,103.54375558039888,102.83298040634179,103.54037934613622,94.39162807236565,97.99165725775138,95.42927725227295,93.01944850674192,97.47558510581263,101.12684978404305,99.85951234208756,96.16275083856232,103.65158809810018,108.49469523877346,98.17777257130366,111.68412048691201,102.77334965601668,102.07013928373576,113.45219303909258,96.89249264530547,103.84454522193785,100.75908226663995,99.61963925508951,97.87847660805744,100.0
2015,108.88118706524932,117.33587125568393,105.73031023330925,102.43995193316051,104.51597484810269,96.43120322742845,101.96008447966305,101.66465564913989,96.14745110852674,101.36666431951433,103.66413026274166,102.50470718699822,99.35228514199262,109.75283710925726,104.44424952387882,104.79674843390458,106.79543683636629,101.96302444201244,103.29314653979793,106.22244012616096,100.26407831681472,108.34516880529162,102.53970006534772,100.88655540240607,98.41499783593046,102.47728754910199
2016,111.49739718354333,118.15342551262387,105.99322195755391,101.72105592008407,107.04974379898329,95.308204835059,103.39614224757132,99.53773306319893,95.78801694580534,101.8792677522298,105.15712106893575,98.98108806398899,99.94432941235006,102.34413971593736,105.91890453536803,101.82001340855021,106.87023536519634,99.552374614182,104.91589406205397,110.05598918079697,99.21888344604388,109.89457862937435,105.26378666084415,101.55752298772624,99.55562935865423,102.5577689800318
2017,111.5091805003952,117.0588977893908,103.45041048152052,101.04908833814312,104.64901506037994,93.9710401105135,102.96427211239543,101.26746216047668,94.29073106770927,101.74083015945854,104.17279956215364,105.27353610124592,99.39931501652087,102.76507134161086,104.72120457154215,103.44334892761664,105.82636367776786,97.99793045912519,104.05570103580237,105.55762006902,98.0216086911726,109.35596273664001,102.63614755612221,100.58006719600712,99.53227783385678,102.02158859389013
2018,113.15225392948672,119.06613719795604,104.50608380860342,102.6388965641547,105.58370800274463,94.5896241439867,107.75627877584124,101.69255532243548,96.14182115645953,105.3294453943676,105.48546423555409,105.62895801554026,102.10601043447632,104.29176166011622,105.45903630682272,105.72994330605002,110.70494290718618,99.35031496096785,103.1034430524485,102.99986786362562,98.23405219314195,109.0661863375141,105.26011426571067,99.61041661176564,100.27453963760198,103.3724232201795
2019,111.27180184866654,119.37458127318075,105.31799465568434,102.72227269986256,103.69157104729484,90.94941920219689,101.71508014549566,101.3582186566501,95.91026405598303,103.93619496834407,104.59191921484896,107.65303556460142,99.0227727418085,104.21181177688155,104.33895613318683,104.11989066585019,115.00823131034667,99.77768125305428,104.09064231622871,106.28362706318455,97.53098321802344,106.61477219890733,104.30532550917941,99.8981142834403,100.20716862118466,102.59227985935459
