year,上海,全国,北京,吉林,四川,天津,宁夏,安徽,山东,山西,新疆,江苏,江西,河北,河南,浙江,湖北,湖南,甘肃,福建,西藏,辽宁,重庆,陕西,青海,黑龙江
2014,111.0145271,100,121.49618,91.92519169,94.1053308,98.60125853,67.20820076,92.4747803,98.06096759,99.75931145,95.54738782,103.1000283,96.60166153,92.94838471,104.3685213,111.1005953,99.34653717,128.4106595,72.34061214,133.2204124,161.3694651,89.88216939,95.70998817,135.2692827,97.33883115,99.41180373
2015,112.3024981,94.81139932,120.8482334,84.81833413,91.12947619,98.8242898,66.85755254,88.95637937,93.84663067,96.22234227,84.69963627,99.14077647,92.16283223,87.32913153,86.34821093,106.9478795,95.29840602,100.2629312,75.93233021,119.860106,167.4610863,86.37370693,90.66620317,128.4993614,81.7095592,97.56107834
2016,116.1706503,96.79809721,123.6888797,86.94862533,93.16698041,97.5888185,61.81588242,91.51539008,95.98329187,94.33491434,74.59757222,101.8022692,95.75327253,87.04436144,94.03369294,112.6800765,97.9277744,102.1079363,74.94870336,121.5772057,178.4101759,84.04383908,91.84778531,135.1065123,86.15632531,95.14485916
2017,109.2977433,96.22338479,120.5137029,83.79186187,88.56800936,96.06167159,71.12420559,89.26163783,92.16082878,101.1553325,96.25738598,100.8106596,94.11062897,87.86371826,96.77779375,111.5068548,92.65820654,101.6655085,81.59353177,120.6863215,190.9323832,81.67139329,86.89867208,136.2799479,90.22728883,88.13638331
2018,115.3258384,101.493524,132.4215838,86.49537657,101.8821775,102.9604364,61.58885489,95.99038638,102.0316666,98.33673035,97.76498083,104.8175303,96.77660707,93.11490499,101.0304388,114.8754218,101.8083598,109.9173354,87.66099259,125.6690511,200.811459,86.82768274,95.93375447,133.9311489,93.46864066,93.62238682
2019,120.5057084,103.32444,131.7743201,84.98974377,101.1532961,104.9641895,69.51703521,99.15736986,102.4023922,100.6574416,94.12373802,104.5943822,112.2634136,97.34517567,104.6537855,118.5519783,106.4636527,114.6528574,84.02937647,122.4936826,203.0128479,87.69803976,96.40867523,123.9770069,89.92967368,91.554099
