year,上海,全国,北京,吉林,四川,天津,宁夏,安徽,山东,山西,新疆,江苏,江西,河北,河南,浙江,湖北,湖南,甘肃,福建,西藏,辽宁,重庆,陕西,青海,黑龙江
2014,88.88232793,100,84.072066,96.57005882,109.9540378,79.78401766,68.34183908,90.68212215,139.6219578,104.4168802,102.1511048,163.5347982,81.94431754,129.1561849,134.3705255,134.8511997,95.46279723,88.39549098,75.33919751,126.3255337,64.6994367,116.891763,78.07075312,110.0404039,76.36054742,80.81091249
2015,109.1547937,93.37582494,84.04844968,90.98634765,99.5036819,78.12412503,62.51409717,97.81560509,134.8580585,86.81138675,102.8370575,165.2589392,83.47075072,124.1111565,115.6283456,133.3254174,94.34040878,92.68157589,99.67775888,111.0491122,76.10774211,98.99894922,78.47807395,110.1007971,59.64348453,105.2281035
2016,108.8278299,106.8767236,97.95364988,98.2680546,116.9207611,79.81086967,62.08521288,106.9585596,149.7391839,104.9548795,99.07729977,184.1581883,88.55881211,126.4092367,131.2483071,149.0073,104.9362443,100.2843889,72.33160039,122.3196356,76.33546971,112.7060878,83.90621184,111.5843533,71.27142705,86.40116611
2017,102.7517086,108.9422218,90.35831871,103.6504668,114.7507436,85.97088566,91.31010367,102.9184749,151.7956887,107.8904539,104.0907609,190.4487638,88.54422191,131.6254823,141.2806061,153.7372556,103.5237485,99.43396585,78.67772858,125.9977671,70.35924654,116.9496533,83.49381321,114.3219853,88.22050533,82.13140408
2018,107.5490789,122.8285022,103.1066443,77.29707617,137.3880389,107.4249451,75.08577343,125.1097921,179.7069131,111.5638744,108.2038791,215.7110671,100.8461716,160.0602116,153.8282784,163.5957688,119.5231575,117.4023215,81.61614915,136.5643569,73.32354514,122.05956,110.0259242,116.8087489,76.90795062,104.2894965
2019,123.0405507,130.7012033,116.8975879,95.37669019,131.3860558,84.37231951,80.10604173,132.2591986,167.5117277,125.044744,84.49385711,203.942476,121.055831,136.9920909,149.6352878,185.7515917,133.7496558,126.8938468,79.9302562,110.8923184,90.75389501,132.220908,92.82214068,91.54002539,75.30118707,79.1690807
